promo_date,property,campaign,channel,promo_spend,redemptions,promo_revenue,is_duplicate_row,is_negative_spend,roi
2025-09-01,RW_NYC,Fall Bonus,Email,1432.52,92,5374.21,No,No,3.7516
2025-09-01,RW_NYC,Fall Bonus,SMS,1239.13,362,2179.03,No,No,1.7585
2025-09-01,RW_NYC,Fall Bonus,App,1599.5,114,4949.34,No,No,3.0943
2025-09-01,RW_NYC,Fall Bonus,Onsite,1499.53,313,2616.77,No,No,1.7451
2025-09-01,RW_NYC,Holiday Boost,Email,1059.17,104,2191.9,No,No,2.0695
2025-09-01,RW_NYC,Holiday Boost,SMS,1514.49,165,2506.15,No,No,1.6548
2025-09-01,RW_NYC,Holiday Boost,App,1910.56,227,4024.91,No,No,2.1067
2025-09-01,RW_NYC,Holiday Boost,Onsite,2350.55,246,4449.53,No,No,1.893
2025-09-01,RW_NYC,VIP Reload,Email,1419.97,129,4361.91,No,No,3.0718
2025-09-01,RW_NYC,VIP Reload,SMS,597.16,160,1600.2,No,No,2.6797
2025-09-01,RW_NYC,VIP Reload,App,1373.07,82,3302.18,No,No,2.405
2025-09-01,RW_NYC,VIP Reload,Onsite,2100.52,276,4811.85,No,No,2.2908
2025-09-01,RW_NYC,Slots Frenzy,Email,379.91,152,986.34,No,No,2.5962
2025-09-01,RW_NYC,Slots Frenzy,SMS,1763.35,94,4258.09,No,No,2.4148
2025-09-01,RW_NYC,Slots Frenzy,App,2589.05,200,6494.84,No,No,2.5086
2025-09-01,RW_NYC,Slots Frenzy,Onsite,1481.59,334,3760.57,No,No,2.5382
2025-09-02,RW_NYC,Fall Bonus,Email,1020.68,254,2564.71,No,No,2.5127
2025-09-02,RW_NYC,Fall Bonus,SMS,1290.16,280,4040.2,No,No,3.1315
2025-09-02,RW_NYC,Fall Bonus,App,1656.8,235,2844.53,No,No,1.7169
2025-09-02,RW_NYC,Fall Bonus,Onsite,2308.27,140,4887.22,No,No,2.1173
2025-09-02,RW_NYC,Holiday Boost,Email,870.15,191,3003.1,No,No,3.4512
2025-09-02,RW_NYC,Holiday Boost,SMS,1033.67,124,2706.76,No,No,2.6186
2025-09-02,RW_NYC,Holiday Boost,App,1544.22,321,2935.76,No,No,1.9011
2025-09-02,RW_NYC,Holiday Boost,Onsite,983.03,170,2222.55,No,No,2.2609
2025-09-02,RW_NYC,VIP Reload,Email,805.44,49,2082.76,No,No,2.5859
2025-09-02,RW_NYC,VIP Reload,SMS,1483.96,207,4079.79,No,No,2.7493
2025-09-02,RW_NYC,VIP Reload,App,2441.86,207,8673.57,No,No,3.552
2025-09-02,RW_NYC,VIP Reload,Onsite,2456.36,276,9005.13,No,No,3.666
2025-09-02,RW_NYC,Slots Frenzy,Email,839.25,13,2813.9,No,No,3.3529
2025-09-02,RW_NYC,Slots Frenzy,SMS,889.97,197,2713.74,No,No,3.0492
2025-09-02,RW_NYC,Slots Frenzy,App,1490.22,184,5049.2,No,No,3.3882
2025-09-02,RW_NYC,Slots Frenzy,Onsite,3007.65,156,9630.36,No,No,3.202
2025-09-03,RW_NYC,Fall Bonus,Email,1072.85,160,1733.42,No,No,1.6157
2025-09-03,RW_NYC,Fall Bonus,SMS,735.19,26,1266.07,No,No,1.7221
2025-09-03,RW_NYC,Fall Bonus,App,2865.57,272,9807.69,No,No,3.4226
2025-09-03,RW_NYC,Fall Bonus,Onsite,2238.36,169,4233.73,No,No,1.8914
2025-09-03,RW_NYC,Holiday Boost,Email,1023.34,33,2019.0,No,No,1.973
2025-09-03,RW_NYC,Holiday Boost,SMS,1402.2,192,2347.4,No,No,1.6741
2025-09-03,RW_NYC,Holiday Boost,App,2398.96,229,8984.84,No,No,3.7453
2025-09-03,RW_NYC,Holiday Boost,Onsite,1309.88,208,4622.23,No,No,3.5287
2025-09-03,RW_NYC,VIP Reload,Email,1441.08,92,4985.79,No,No,3.4598
2025-09-03,RW_NYC,VIP Reload,SMS,1404.8,111,4744.34,No,No,3.3772
2025-09-03,RW_NYC,VIP Reload,App,909.23,230,1525.84,No,No,1.6782
2025-09-03,RW_NYC,VIP Reload,Onsite,2344.73,203,3982.49,No,No,1.6985
2025-09-03,RW_NYC,Slots Frenzy,Email,907.01,94,2841.42,No,No,3.1327
2025-09-03,RW_NYC,Slots Frenzy,SMS,753.35,157,1754.54,No,No,2.329
2025-09-03,RW_NYC,Slots Frenzy,App,1956.78,227,7403.73,No,No,3.7836
2025-09-03,RW_NYC,Slots Frenzy,Onsite,2764.32,225,9690.7,No,No,3.5056
2025-09-04,RW_NYC,Fall Bonus,Email,1203.72,137,1989.25,No,No,1.6526
2025-09-04,RW_NYC,Fall Bonus,SMS,806.89,112,1505.17,No,No,1.8654
2025-09-04,RW_NYC,Fall Bonus,App,1308.26,232,3131.6,No,No,2.3937
2025-09-04,RW_NYC,Fall Bonus,Onsite,1010.37,220,2774.71,No,No,2.7462
2025-09-04,RW_NYC,Holiday Boost,Email,285.13,142,918.57,No,No,3.2216
2025-09-04,RW_NYC,Holiday Boost,SMS,1033.62,143,2459.94,No,No,2.3799
2025-09-04,RW_NYC,Holiday Boost,App,903.63,189,3272.19,No,No,3.6212
2025-09-04,RW_NYC,Holiday Boost,Onsite,984.11,202,2551.18,No,No,2.5924
2025-09-04,RW_NYC,VIP Reload,Email,904.56,12,3283.31,No,No,3.6297
2025-09-04,RW_NYC,VIP Reload,SMS,1849.58,97,5382.96,No,No,2.9104
2025-09-04,RW_NYC,VIP Reload,App,728.48,265,2243.14,No,No,3.0792
2025-09-04,RW_NYC,VIP Reload,Onsite,2398.68,317,4613.25,No,No,1.9232
2025-09-04,RW_NYC,Slots Frenzy,Email,1485.92,30,2507.02,No,No,1.6872
2025-09-04,RW_NYC,Slots Frenzy,SMS,1741.39,210,3506.58,No,No,2.0137
2025-09-04,RW_NYC,Slots Frenzy,App,1000.3,171,2912.18,No,No,2.9113
2025-09-04,RW_NYC,Slots Frenzy,Onsite,324.46,143,593.88,No,No,1.8304
2025-09-05,RW_NYC,Fall Bonus,Email,1383.15,153,4128.72,No,No,2.985
2025-09-05,RW_NYC,Fall Bonus,SMS,1746.87,128,3354.85,No,No,1.9205
2025-09-05,RW_NYC,Fall Bonus,App,2033.64,293,4548.48,No,No,2.2366
2025-09-05,RW_NYC,Fall Bonus,Onsite,3745.19,254,8122.93,No,No,2.1689
2025-09-05,RW_NYC,Holiday Boost,Email,941.42,188,3354.41,No,No,3.5631
2025-09-05,RW_NYC,Holiday Boost,SMS,723.68,232,2358.41,No,No,3.2589
2025-09-05,RW_NYC,Holiday Boost,App,518.1,343,1849.52,No,No,3.5698
2025-09-05,RW_NYC,Holiday Boost,Onsite,2132.62,199,4950.67,No,No,2.3214
2025-09-05,RW_NYC,VIP Reload,Email,1375.1,128,4010.03,No,No,2.9162
2025-09-05,RW_NYC,VIP Reload,SMS,1007.61,253,2413.45,No,No,2.3952
2025-09-05,RW_NYC,VIP Reload,App,1607.09,267,5714.45,No,No,3.5558
2025-09-05,RW_NYC,VIP Reload,Onsite,1075.55,309,1861.75,No,No,1.731
2025-09-05,RW_NYC,Slots Frenzy,Email,623.07,100,1405.41,No,No,2.2556
2025-09-05,RW_NYC,Slots Frenzy,SMS,1154.67,191,4289.68,No,No,3.7151
2025-09-05,RW_NYC,Slots Frenzy,App,1458.5,222,5320.75,No,No,3.6481
2025-09-05,RW_NYC,Slots Frenzy,Onsite,3035.83,190,8355.08,No,No,2.7522
2025-09-06,RW_NYC,Fall Bonus,Email,955.49,106,1639.68,No,No,1.7161
2025-09-06,RW_NYC,Fall Bonus,SMS,1388.86,116,2584.65,No,No,1.861
2025-09-06,RW_NYC,Fall Bonus,App,2279.74,175,8352.73,No,No,3.6639
2025-09-06,RW_NYC,Fall Bonus,Onsite,1929.22,239,7327.68,No,No,3.7983
2025-09-06,RW_NYC,Holiday Boost,Email,989.03,88,2755.36,No,No,2.7859
2025-09-06,RW_NYC,Holiday Boost,SMS,657.74,266,2259.9,No,No,3.4359
2025-09-06,RW_NYC,Holiday Boost,App,1501.62,237,3388.97,No,No,2.2569
2025-09-06,RW_NYC,Holiday Boost,Onsite,2987.08,28,10252.62,No,No,3.4323
2025-09-06,RW_NYC,VIP Reload,Email,1301.75,49,3154.45,No,No,2.4232
2025-09-06,RW_NYC,VIP Reload,SMS,1061.84,205,2812.37,No,No,2.6486
2025-09-06,RW_NYC,VIP Reload,App,1732.48,206,6336.35,No,No,3.6574
2025-09-06,RW_NYC,VIP Reload,Onsite,2564.17,220,7060.36,No,No,2.7535
2025-09-06,RW_NYC,Slots Frenzy,Email,865.41,60,3198.6,No,No,3.6961
2025-09-06,RW_NYC,Slots Frenzy,SMS,2412.81,158,7792.45,No,No,3.2296
2025-09-06,RW_NYC,Slots Frenzy,App,703.06,242,2270.48,No,No,3.2294
2025-09-06,RW_NYC,Slots Frenzy,Onsite,2079.27,211,6953.48,No,No,3.3442
2025-09-07,RW_NYC,Fall Bonus,Email,848.06,138,2910.94,No,No,3.4325
2025-09-07,RW_NYC,Fall Bonus,SMS,1718.96,134,4630.33,No,No,2.6937
2025-09-07,RW_NYC,Fall Bonus,App,2161.68,176,7300.88,No,No,3.3774
2025-09-07,RW_NYC,Fall Bonus,Onsite,1458.56,193,2806.13,No,No,1.9239
2025-09-07,RW_NYC,Holiday Boost,Email,199.95,174,476.81,No,No,2.3846
2025-09-07,RW_NYC,Holiday Boost,SMS,539.12,151,867.65,No,No,1.6094
2025-09-07,RW_NYC,Holiday Boost,App,700.91,206,1815.02,No,No,2.5895
2025-09-07,RW_NYC,Holiday Boost,Onsite,3076.25,319,6825.72,No,No,2.2188
2025-09-07,RW_NYC,VIP Reload,Email,1213.28,118,2855.35,No,No,2.3534
2025-09-07,RW_NYC,VIP Reload,SMS,1764.83,199,4224.16,No,No,2.3935
2025-09-07,RW_NYC,VIP Reload,App,3023.54,220,7656.89,No,No,2.5324
2025-09-07,RW_NYC,VIP Reload,Onsite,1339.86,297,4876.9,No,No,3.6399
2025-09-07,RW_NYC,Slots Frenzy,Email,459.66,135,1177.57,No,No,2.5618
2025-09-07,RW_NYC,Slots Frenzy,SMS,323.21,156,784.67,No,No,2.4277
2025-09-07,RW_NYC,Slots Frenzy,App,1418.8,148,4047.88,No,No,2.853
2025-09-07,RW_NYC,Slots Frenzy,Onsite,2029.77,156,5737.43,No,No,2.8266
2025-09-08,RW_NYC,Fall Bonus,Email,659.96,138,1994.39,No,No,3.022
2025-09-08,RW_NYC,Fall Bonus,SMS,1107.91,193,2554.25,No,No,2.3055
2025-09-08,RW_NYC,Fall Bonus,App,1933.84,216,5668.46,No,No,2.9312
2025-09-08,RW_NYC,Fall Bonus,Onsite,1003.11,151,3602.01,No,No,3.5908
2025-09-08,RW_NYC,Holiday Boost,Email,818.02,133,1756.37,No,No,2.1471
2025-09-08,RW_NYC,Holiday Boost,SMS,672.32,135,1909.16,No,No,2.8397
2025-09-08,RW_NYC,Holiday Boost,App,1818.81,133,6655.49,No,No,3.6593
