work_date,department,volume,labor_hours,avg_hourly_rate,labor_cost
2025-10-01,Slots,1926,141.87,21.12,2996.07
2025-10-01,Tables,1895,155.45,20.65,3210.35
2025-10-01,Hotel,1266,145.52,25.81,3755.47
2025-10-01,F&B,1923,213.67,29.07,6210.2
2025-10-02,Slots,1569,120.19,33.96,4081.21
2025-10-02,Tables,1185,127.79,21.12,2698.73
2025-10-02,Hotel,1259,102.51,18.12,1857.52
2025-10-02,F&B,1656,164.96,28.4,4685.2
2025-10-03,Slots,1499,141.89,25.75,3654.12
2025-10-03,Tables,1486,120.53,24.5,2953.25
2025-10-03,Hotel,1631,144.75,32.62,4721.75
2025-10-03,F&B,1446,157.28,19.11,3005.01
2025-10-04,Slots,1187,81.33,27.58,2242.66
2025-10-04,Tables,1576,194.29,21.93,4259.75
2025-10-04,Hotel,891,80.41,20.07,1614.15
2025-10-04,F&B,1308,94.56,20.95,1980.78
2025-10-05,Slots,1904,194.06,29.26,5678.72
2025-10-05,Tables,1825,166.27,21.54,3580.64
2025-10-05,Hotel,1502,108.09,25.65,2772.02
2025-10-05,F&B,1001,70.18,28.16,1976.51
2025-10-06,Slots,1615,157.01,27.7,4348.87
2025-10-06,Tables,1816,123.3,32.36,3989.65
2025-10-06,Hotel,1137,96.54,27.97,2700.61
2025-10-06,F&B,1016,101.94,27.23,2775.43
2025-10-07,Slots,1864,185.03,20.81,3850.44
2025-10-07,Tables,1320,98.47,21.38,2105.01
2025-10-07,Hotel,1886,137.58,30.02,4129.73
2025-10-07,F&B,1218,90.9,19.26,1750.68
2025-10-08,Slots,1030,82.02,33.55,2752.21
2025-10-08,Tables,1000,80.89,23.63,1910.95
2025-10-08,Hotel,1871,176.58,29.37,5186.23
2025-10-08,F&B,1604,122.38,28.84,3529.11
2025-10-09,Slots,1760,164.79,34.52,5688.28
2025-10-09,Tables,1442,108.21,27.54,2980.39
2025-10-09,Hotel,1566,159.92,18.69,2988.46
2025-10-09,F&B,1006,91.51,18.43,1686.81
2025-10-10,Slots,1663,133.52,23.34,3116.95
2025-10-10,Tables,895,69.55,20.37,1416.62
2025-10-10,Hotel,1030,94.73,30.84,2921.97
2025-10-10,F&B,1859,127.33,28.18,3588.22
2025-10-11,Slots,1909,134.79,28.61,3856.75
2025-10-11,Tables,1812,128.51,31.66,4068.89
2025-10-11,Hotel,989,112.77,21.87,2466.75
2025-10-11,F&B,1432,104.33,32.63,3404.43
2025-10-12,Slots,1509,130.36,25.1,3271.63
2025-10-12,Tables,1483,152.75,20.86,3186.44
2025-10-12,Hotel,1936,229.0,22.32,5110.43
2025-10-12,F&B,1936,214.24,34.96,7490.16
2025-10-13,Slots,1498,122.12,26.55,3241.66
2025-10-13,Tables,1654,166.22,33.44,5558.56
2025-10-13,Hotel,1953,166.69,25.61,4269.25
2025-10-13,F&B,1046,82.33,30.95,2547.91
2025-10-14,Slots,922,95.1,31.65,3010.22
2025-10-14,Tables,1683,113.07,24.78,2801.99
2025-10-14,Hotel,1551,114.14,20.56,2347.0
2025-10-14,F&B,986,105.96,18.69,1980.68
2025-10-15,Slots,1459,141.9,21.74,3085.54
2025-10-15,Tables,946,90.61,19.64,1779.07
2025-10-15,Hotel,1288,100.34,24.57,2465.77
2025-10-15,F&B,1137,82.01,29.49,2418.24
2025-10-16,Slots,1272,134.41,27.2,3656.6
2025-10-16,Tables,1062,84.15,31.89,2683.87
2025-10-16,Hotel,1816,156.33,22.43,3507.12
2025-10-16,F&B,1696,196.03,33.25,6518.53
2025-10-17,Slots,1860,131.18,21.21,2782.17
2025-10-17,Tables,1922,148.96,32.39,4825.4
2025-10-17,Hotel,1203,84.66,31.26,2646.33
2025-10-17,F&B,1427,166.14,20.75,3447.09
2025-10-18,Slots,903,73.74,18.16,1338.93
2025-10-18,Tables,1309,89.77,34.55,3101.92
2025-10-18,Hotel,1713,187.71,27.33,5129.9
