date,hotel,rooms_available,rooms_sold,average_daily_rate,room_revenue
2024-01-01,Hotel A,231,215,251.75890952605292,54128.16554810138
2024-01-01,Hotel B,240,194,200.2498955136464,38848.479729647406
2024-01-01,Hotel C,203,168,130.15408422487803,21865.886149779508
2024-01-02,Hotel A,209,140,152.72849409727812,21381.989173618935
2024-01-02,Hotel B,200,163,230.09756888789056,37505.90372872616
2024-01-02,Hotel C,228,178,191.974974908746,34171.545533756784
2024-01-03,Hotel A,239,174,202.0925971590665,35164.11190567757
2024-01-03,Hotel B,226,184,188.84315842808928,34747.141150768424
2024-01-03,Hotel C,243,185,274.7892732125377,50836.015544319474
2024-01-04,Hotel A,186,122,131.7092867373503,16068.532981956738
2024-01-04,Hotel B,183,170,221.39187921219707,37636.6194660735
2024-01-04,Hotel C,188,113,161.56088861198683,18256.38041315451
2024-01-05,Hotel A,239,153,209.13184382002862,31997.17210446438
2024-01-05,Hotel B,226,149,190.39090936318334,28368.24549511432
2024-01-05,Hotel C,229,190,176.10799369609396,33460.51880225785
2024-01-06,Hotel A,185,124,222.18605900759846,27551.07131694221
2024-01-06,Hotel B,242,216,200.95574400655784,43406.44070541649
2024-01-06,Hotel C,241,222,250.90895925415575,55701.788954422576
2024-01-07,Hotel A,194,122,155.27691523544613,18943.783658724427
2024-01-07,Hotel B,241,172,189.96191214410675,32673.44888878636
2024-01-07,Hotel C,232,186,293.7459553075448,54636.74768720334
2024-01-08,Hotel A,239,188,145.3663604954573,27328.87577314597
2024-01-08,Hotel B,194,127,122.81455321341491,15597.448258103694
2024-01-08,Hotel C,188,163,155.76882267615105,25390.31809621262
2024-01-09,Hotel A,242,214,247.23432189257107,52908.14488501021
2024-01-09,Hotel B,214,187,229.07279546058203,42836.612751128836
2024-01-09,Hotel C,220,202,273.0069440021639,55147.402688437105
2024-01-10,Hotel A,191,136,131.44050305148426,17875.90841500186
2024-01-10,Hotel B,202,168,239.8660241911494,40297.492064113096
2024-01-10,Hotel C,223,183,279.6982936637388,51184.7877404642
2024-01-11,Hotel A,244,179,294.9081771700387,52788.563713436924
2024-01-11,Hotel B,182,157,221.02989556250932,34701.693603313965
2024-01-11,Hotel C,193,149,214.09190928875893,31899.69448402508
2024-01-12,Hotel A,194,123,199.08057033583862,24486.91015130815
2024-01-12,Hotel B,230,140,234.55387402748048,32837.542363847264
2024-01-12,Hotel C,231,184,245.19289555670295,45115.49278243334
2024-01-13,Hotel A,202,163,217.17139643430116,35398.93761879109
2024-01-13,Hotel B,208,141,133.85638376918274,18873.750111454767
2024-01-13,Hotel C,238,200,278.4842110227464,55696.842204549284
2024-01-14,Hotel A,221,195,234.01267617187622,45632.47185351586
2024-01-14,Hotel B,185,140,159.31927869903006,22304.699017864208
2024-01-14,Hotel C,209,190,178.3821037809493,33892.59971838037
2024-01-15,Hotel A,241,153,161.0283292575495,24637.334376405073
2024-01-15,Hotel B,241,144,183.46239414015042,26418.584756181663
2024-01-15,Hotel C,182,109,211.93451446396182,23100.862076571837
2024-01-16,Hotel A,188,144,244.63848592024866,35227.94197251581
2024-01-16,Hotel B,223,152,150.2923875911275,22844.44291385138
2024-01-16,Hotel C,211,164,246.54341260113202,40433.11966658565
2024-01-17,Hotel A,241,226,293.24051308958,66272.35595824508
2024-01-17,Hotel B,218,168,174.15809576701855,29258.560088859118
2024-01-17,Hotel C,235,144,229.72158011638143,33079.907536758925
2024-01-18,Hotel A,181,134,125.94913192209872,16877.18367756123
2024-01-18,Hotel B,180,123,146.08107697642015,17967.972468099677
2024-01-18,Hotel C,223,168,219.52075603283902,36879.487013516955
2024-01-19,Hotel A,247,155,186.5378020910528,28913.359324113186
2024-01-19,Hotel B,196,167,186.20096388946558,31095.56096954075
2024-01-19,Hotel C,249,184,266.9577371794891,49120.22364102599
2024-01-20,Hotel A,195,174,177.74041169491244,30926.831634914764
2024-01-20,Hotel B,249,210,274.5045848664696,57645.962821958616
2024-01-20,Hotel C,238,161,248.0069158388432,39929.11345005376
2024-01-21,Hotel A,198,142,137.31177919645575,19498.272645896715
2024-01-21,Hotel B,212,156,213.19524309494642,33258.45792281164
2024-01-21,Hotel C,180,150,252.33890146333897,37850.83521950085
2024-01-22,Hotel A,229,211,277.9210836085766,58641.34864140967
2024-01-22,Hotel B,186,154,267.09999603621884,41133.3993895777
2024-01-22,Hotel C,239,165,299.3256659564264,49388.73488281036
2024-01-23,Hotel A,191,151,278.87454177408114,42110.05580788625
2024-01-23,Hotel B,188,131,246.06440939509883,32234.437630757948
2024-01-23,Hotel C,182,163,192.8114628819942,31428.268449765055
2024-01-24,Hotel A,212,174,135.1451936991088,23515.26370364493
2024-01-24,Hotel B,215,196,229.15723073872618,44914.817224790335
2024-01-24,Hotel C,204,122,148.94544925514975,18171.34480912827
2024-01-25,Hotel A,245,206,237.3530267104681,48894.72350235643
2024-01-25,Hotel B,220,145,123.25356545079376,17871.766990365097
2024-01-25,Hotel C,193,137,254.36845292124434,34848.47805021048
2024-01-26,Hotel A,187,167,238.37032061406182,39807.843542548326
2024-01-26,Hotel B,212,167,211.5865338309768,35334.95114977313
2024-01-26,Hotel C,201,137,295.1418998554402,40434.44028019531
2024-01-27,Hotel A,230,209,233.60495267950733,48823.43511001703
2024-01-27,Hotel B,200,155,223.84269923274462,34695.618381075416
2024-01-27,Hotel C,243,219,161.43334828347994,35353.903274082106
2024-01-28,Hotel A,227,158,124.37687395766169,19651.546085310547
2024-01-28,Hotel B,228,140,299.0190919435214,41862.672872093
2024-01-28,Hotel C,209,195,284.67559023968073,55511.74009673774
2024-01-29,Hotel A,216,199,197.07314669711658,39217.5561927262
2024-01-29,Hotel B,232,185,296.45968506888823,54845.04173774432
2024-01-29,Hotel C,242,171,154.3639856070623,26396.24153880765
2024-01-30,Hotel A,212,150,150.50869440349663,22576.304160524494
2024-01-30,Hotel B,204,150,271.95836533073606,40793.75479961041
2024-01-30,Hotel C,246,196,137.49176887873833,26948.386700232713
2024-01-31,Hotel A,211,176,184.5564206333095,32481.93003146247
2024-01-31,Hotel B,206,144,178.05913756294808,25640.515809064524
2024-01-31,Hotel C,212,137,247.60397944382134,33921.74518380353
2024-02-01,Hotel A,218,153,265.68500798613246,40649.806221878265
2024-02-01,Hotel B,229,206,284.38329946016484,58582.959688793955
2024-02-01,Hotel C,186,144,263.69313221401956,37971.811038818814
2024-02-02,Hotel A,244,152,191.4210888984999,29096.005512571985
2024-02-02,Hotel B,193,175,180.83912823327645,31646.847440823378
2024-02-02,Hotel C,245,184,240.9647043531359,44337.505600977005
2024-02-03,Hotel A,230,175,217.6760342473638,38093.30599328866
2024-02-03,Hotel B,201,162,125.4900449890289,20329.387288222682
2024-02-03,Hotel C,231,141,174.5877926411801,24616.878762406395
2024-02-04,Hotel A,239,170,269.01642068176596,45732.791515900215
2024-02-04,Hotel B,239,161,232.12028564742005,37371.365989234626
2024-02-04,Hotel C,247,220,154.98840611907715,34097.449346196976
2024-02-05,Hotel A,226,190,144.90355663520424,27531.675760688806
2024-02-05,Hotel B,195,183,212.93406269421516,38966.933473041376
2024-02-05,Hotel C,209,128,191.787762260063,24548.833569288065
2024-02-06,Hotel A,198,149,134.12214864160788,19984.200147599575
2024-02-06,Hotel B,241,215,245.27535709686563,52734.20177582611
2024-02-06,Hotel C,180,118,148.15866768079547,17482.722786333867
2024-02-07,Hotel A,213,145,136.89719221463253,19850.092871121717
2024-02-07,Hotel B,180,168,252.82144500523833,42474.00276088004
2024-02-07,Hotel C,242,182,251.40707698112735,45756.088010565174
2024-02-08,Hotel A,246,168,184.0750821572271,30924.61380241415
2024-02-08,Hotel B,236,169,136.52383184641954,23072.527582044902
2024-02-08,Hotel C,226,138,273.9829051219813,37809.64090683342
2024-02-09,Hotel A,248,189,137.61014891718025,26008.318145347068
2024-02-09,Hotel B,227,200,182.33477779609214,36466.955559218426
2024-02-09,Hotel C,202,124,290.84623168644947,36064.93272911973
2024-02-10,Hotel A,213,147,122.75481725226925,18044.95813608358
2024-02-10,Hotel B,198,153,274.168171413898,41947.73022632639
2024-02-10,Hotel C,248,208,230.8532095901845,48017.467594758375
2024-02-11,Hotel A,181,110,225.4396046292234,24798.356509214573
2024-02-11,Hotel B,203,169,223.206067500948,37721.82540766021
2024-02-11,Hotel C,212,161,218.2110220768683,35131.974554375796
2024-02-12,Hotel A,191,140,293.01430148830457,41022.00220836264
2024-02-12,Hotel B,222,148,132.48503415752978,19607.78505531441
2024-02-12,Hotel C,225,136,136.99973293606712,18631.96367930513
2024-02-13,Hotel A,214,153,238.03007436853358,36418.60137838564
2024-02-13,Hotel B,205,171,181.3124225035632,31004.424248109306
2024-02-13,Hotel C,186,119,245.4126897655471,29204.110082100106
2024-02-14,Hotel A,208,127,195.23028570880416,24794.24628501813
2024-02-14,Hotel B,215,142,255.1106552953545,36225.713051940336
2024-02-14,Hotel C,243,194,251.69659595393523,48829.13961506343
2024-02-15,Hotel A,215,156,259.75433293355945,40521.67593763527
2024-02-15,Hotel B,203,183,221.13600458587925,40467.888839215906
2024-02-15,Hotel C,191,143,255.15679220246952,36487.42128495314
2024-02-16,Hotel A,209,191,210.94542704061428,40290.57656475733
2024-02-16,Hotel B,192,175,190.05630217214934,33259.852880126135
2024-02-16,Hotel C,191,178,272.48576593720617,48502.4663368227
2024-02-17,Hotel A,188,133,291.0111540691449,38704.48349119627
2024-02-17,Hotel B,231,184,233.73069819056388,43006.448467063754
2024-02-17,Hotel C,248,174,179.15961816658486,31173.773560985766
2024-02-18,Hotel A,232,203,262.1312657030197,53212.646937713005
2024-02-18,Hotel B,232,179,130.36057680299598,23334.54324773628
2024-02-18,Hotel C,184,157,218.264838629698,34267.579664862584
2024-02-19,Hotel A,197,184,243.84540183150705,44867.5539369973
2024-02-19,Hotel B,237,193,138.20208170210225,26673.001768505736
2024-02-19,Hotel C,186,139,160.0637551627855,22248.861967627185
2024-02-20,Hotel A,188,166,247.12360088816934,41022.51774743611
2024-02-20,Hotel B,184,143,161.981053036415,23163.290584207345
2024-02-20,Hotel C,187,136,186.71558647204037,25393.31976019749
2024-02-21,Hotel A,196,182,297.48019148811676,54141.39485083725
2024-02-21,Hotel B,183,132,247.47261520497597,32666.38520705683
2024-02-21,Hotel C,198,172,220.5127649524449,37928.19557182053
2024-02-22,Hotel A,198,126,208.67251877235464,26292.737365316683
2024-02-22,Hotel B,192,142,222.8651445369019,31646.85052424007
2024-02-22,Hotel C,199,127,141.15472441987887,17926.65000132462
2024-02-23,Hotel A,218,187,225.00637771748873,42076.192633170394
2024-02-23,Hotel B,241,178,205.988680358441,36665.9851038025
2024-02-23,Hotel C,204,184,160.24725093350148,29485.494171764272
2024-02-24,Hotel A,185,162,296.02212037576874,47955.583500874534
2024-02-24,Hotel B,224,137,280.4057604656528,38415.58918379444
2024-02-24,Hotel C,215,170,294.4744564114378,50060.65758994443
2024-02-25,Hotel A,197,129,159.02563918556842,20514.307454938327
2024-02-25,Hotel B,194,147,232.96045441513144,34245.18679902432
2024-02-25,Hotel C,182,166,128.18034846146242,21277.937844602762
2024-02-26,Hotel A,191,178,130.41550159638734,23213.959284156947
2024-02-26,Hotel B,203,165,169.92861293660388,28038.22113453964
2024-02-26,Hotel C,215,163,183.60340104468952,29927.354370284393
2024-02-27,Hotel A,229,158,184.86211713694829,29208.21450763783
2024-02-27,Hotel B,243,184,125.81687119973708,23150.304300751624
2024-02-27,Hotel C,212,157,228.50073876419373,35874.61598597842
2024-02-28,Hotel A,208,134,133.71606832784937,17917.953155931817
2024-02-28,Hotel B,185,172,250.6295115099048,43108.27597970363
2024-02-28,Hotel C,226,208,134.8947156063551,28058.100846121863
2024-02-29,Hotel A,209,188,128.1393606191141,24090.19979639345
2024-02-29,Hotel B,212,184,206.46661473594384,37989.857111413665
2024-02-29,Hotel C,228,166,254.92409399569297,42317.399603285034
2024-03-01,Hotel A,238,212,270.8991668480048,57430.62337177702
2024-03-01,Hotel B,180,108,133.56463086344323,14424.98013325187
2024-03-01,Hotel C,248,235,299.39463067330297,70357.7382082262
2024-03-02,Hotel A,232,186,250.70175193293267,46630.52585952548
2024-03-02,Hotel B,196,134,156.9081591311745,21025.693323577383
2024-03-02,Hotel C,180,168,229.1114342011584,38490.72094579461
2024-03-03,Hotel A,241,218,256.2598437910012,55864.64594643826
2024-03-03,Hotel B,213,154,140.44036659593323,21627.81645577372
2024-03-03,Hotel C,205,158,205.71792542202255,32503.43221667956
2024-03-04,Hotel A,182,142,273.3926700573372,38821.759148141886
2024-03-04,Hotel B,233,218,135.91348020581637,29629.13868486797
2024-03-04,Hotel C,236,190,206.4082740633255,39217.57207203185
2024-03-05,Hotel A,202,174,231.65571924362365,40308.095148390516
2024-03-05,Hotel B,245,216,282.5671905617927,61034.513161347226
2024-03-05,Hotel C,243,147,183.10576058518745,26916.546806022554
2024-03-06,Hotel A,209,165,136.38037638923944,22502.76210422451
2024-03-06,Hotel B,231,182,201.1638805348988,36611.82625735158
2024-03-06,Hotel C,209,170,275.2254675744141,46788.32948765039
2024-03-07,Hotel A,184,161,202.68242543031104,32631.87049428008
2024-03-07,Hotel B,196,151,166.48398989381252,25139.08247396569
2024-03-07,Hotel C,248,233,208.67125691871652,48620.40286206095
2024-03-08,Hotel A,222,151,133.6553990595595,20181.965257993485
2024-03-08,Hotel B,202,130,147.342484832213,19154.52302818769
2024-03-08,Hotel C,195,160,152.73841519184606,24438.14643069537
2024-03-09,Hotel A,235,174,277.3771688737951,48263.627384040345
2024-03-09,Hotel B,206,171,151.01757681629337,25824.005635586167
2024-03-09,Hotel C,230,141,150.4083113529896,21207.571900771534
2024-03-10,Hotel A,221,146,135.96645607627002,19851.10258713542
2024-03-10,Hotel B,180,141,184.0784671689575,25955.063870823007
2024-03-10,Hotel C,225,163,210.61510875387424,34330.2627268815
2024-03-11,Hotel A,224,159,136.6123055211743,21721.356577866714
2024-03-11,Hotel B,226,185,134.71662575079694,24922.575763897432
2024-03-11,Hotel C,242,177,120.46710438905637,21322.677476862977
2024-03-12,Hotel A,215,189,254.6867442690585,48135.79466685205
2024-03-12,Hotel B,231,155,186.68497850244876,28936.171667879556
2024-03-12,Hotel C,193,157,186.40445512255903,29265.499454241766
2024-03-13,Hotel A,181,155,126.60297652030762,19623.46136064768
2024-03-13,Hotel B,235,151,243.6897909725996,36797.15843686254
2024-03-13,Hotel C,202,157,215.7804273477568,33877.52709359782
2024-03-14,Hotel A,197,149,215.87110796190416,32164.79508632372
2024-03-14,Hotel B,194,123,252.73293709688744,31086.151262917156
2024-03-14,Hotel C,207,125,177.9742498049721,22246.78122562151
2024-03-15,Hotel A,223,152,181.72683557008685,27622.4790066532
2024-03-15,Hotel B,204,170,262.0508229493209,44548.63990138455
2024-03-15,Hotel C,197,124,216.6791775273386,26868.218013389986
2024-03-16,Hotel A,213,169,225.57637823893663,38122.40792238029
2024-03-16,Hotel B,221,154,185.35481335175433,28544.641256170165
2024-03-16,Hotel C,205,166,163.9835679836378,27221.272285283878
2024-03-17,Hotel A,238,224,229.0394674842397,51304.8407164697
2024-03-17,Hotel B,212,127,160.55990358825508,20391.107755708395
2024-03-17,Hotel C,249,170,148.92264718672,25316.8500217424
2024-03-18,Hotel A,241,168,151.20724715305587,25402.817521713387
2024-03-18,Hotel B,234,209,129.2943860174123,27022.526677639173
2024-03-18,Hotel C,210,156,296.82815104354916,46305.19156279367
2024-03-19,Hotel A,185,136,294.5046779895664,40052.63620658103
2024-03-19,Hotel B,183,110,295.51208933012566,32506.329826313824
2024-03-19,Hotel C,230,204,249.32230875057965,50861.75098511825
2024-03-20,Hotel A,187,143,270.94486056647247,38745.11506100556
2024-03-20,Hotel B,184,122,178.26226255276387,21747.996031437193
2024-03-20,Hotel C,198,132,252.52449306572788,33333.23308467608
2024-03-21,Hotel A,191,122,229.91160763949387,28049.216132018253
2024-03-21,Hotel B,243,153,211.09871214468245,32298.102958136416
2024-03-21,Hotel C,182,112,180.5887700749057,20225.942248389438
2024-03-22,Hotel A,189,149,218.8059563800159,32602.087500622372
2024-03-22,Hotel B,181,129,265.7774002538343,34285.284632744624
2024-03-22,Hotel C,244,158,120.48796189457934,19037.097979343536
2024-03-23,Hotel A,188,151,204.8837139390285,30937.440804793303
2024-03-23,Hotel B,214,154,287.31524596460866,44246.54787854973
2024-03-23,Hotel C,241,207,193.53329272846503,40061.39159479226
2024-03-24,Hotel A,188,126,188.26114529348408,23720.904306978995
2024-03-24,Hotel B,180,154,223.40516037238416,34404.39469734716
2024-03-24,Hotel C,243,212,269.02935969194857,57034.224254693094
2024-03-25,Hotel A,193,169,268.5238818047035,45380.536024994886
2024-03-25,Hotel B,216,191,239.735499725316,45789.48044753536
2024-03-25,Hotel C,205,188,176.91538481336903,33260.09234491338
2024-03-26,Hotel A,221,162,266.98789910488387,43252.03965499119
2024-03-26,Hotel B,218,185,281.9401401525912,52158.92592822937
2024-03-26,Hotel C,217,171,198.97404156990103,34024.561108453076
2024-03-27,Hotel A,204,147,190.46677983627035,27998.61663593174
2024-03-27,Hotel B,245,193,283.1649799736184,54650.841134908354
2024-03-27,Hotel C,230,181,197.6750657645597,35779.18690338531
2024-03-28,Hotel A,246,201,180.2830106382755,36236.88513829337
2024-03-28,Hotel B,243,159,278.1532407672189,44226.365281987804
2024-03-28,Hotel C,212,166,280.9006649491724,46629.51038156261
2024-03-29,Hotel A,215,204,255.4325616069881,52108.24256782557
2024-03-29,Hotel B,206,177,126.03583825244029,22308.34337068193
2024-03-29,Hotel C,245,212,277.8178146171149,58897.37669882836
2024-03-30,Hotel A,217,170,188.18788180024484,31991.93990604162
2024-03-30,Hotel B,231,170,263.51316584031963,44797.23819285434
2024-03-30,Hotel C,184,141,193.6119318753888,27299.282394429818
2024-03-31,Hotel A,224,190,235.40657391935352,44727.24904467717
2024-03-31,Hotel B,215,169,165.3238306032515,27939.727371949506
2024-03-31,Hotel C,248,220,292.633463021525,64379.3618647355
2024-04-01,Hotel A,217,147,196.2474352356869,28848.372979645974
2024-04-01,Hotel B,225,183,284.13343359173365,51996.41834728726
2024-04-01,Hotel C,241,153,166.0827957336592,25410.667747249856
2024-04-02,Hotel A,239,193,138.3982795605359,26710.867955183432
2024-04-02,Hotel B,247,216,124.14406886177476,26815.118874143347
2024-04-02,Hotel C,210,170,196.34352083442948,33378.398541853014
2024-04-03,Hotel A,208,132,271.2791337564761,35808.84565585484
2024-04-03,Hotel B,190,143,140.38284825133596,20074.747299941042
2024-04-03,Hotel C,200,131,153.53775830894173,20113.446338471367
2024-04-04,Hotel A,236,169,176.0599675282154,29754.134512268403
2024-04-04,Hotel B,219,177,188.2750257093988,33324.67955056359
2024-04-04,Hotel C,232,166,264.51362074764205,43909.26104410858
2024-04-05,Hotel A,205,146,191.6703648463698,27983.87326756999
2024-04-05,Hotel B,204,184,286.13284172372727,52648.44287716582
2024-04-05,Hotel C,186,134,252.7502246597547,33868.53010440713
2024-04-06,Hotel A,196,157,125.9124006438189,19768.24690107957
2024-04-06,Hotel B,230,157,223.9737517364785,35163.87902262712
2024-04-06,Hotel C,231,172,284.672262192258,48963.62909706838
2024-04-07,Hotel A,228,199,169.96569107329526,33823.17252358576
2024-04-07,Hotel B,205,123,239.4367269630079,29450.717416449974
2024-04-07,Hotel C,228,181,274.9137632203321,49759.39114288011
2024-04-08,Hotel A,242,229,210.39510185962365,48180.478325853815
2024-04-08,Hotel B,180,127,191.5172607823676,24322.692119360687
2024-04-08,Hotel C,230,154,281.6497720993285,43374.06490329659
2024-04-09,Hotel A,211,161,232.4956776691894,37431.804104739495
2024-04-09,Hotel B,209,186,225.74164876213337,41987.946669756806
2024-04-09,Hotel C,180,156,201.59199025464497,31448.350479724617
2024-04-10,Hotel A,245,192,206.59583070976547,39666.39949627497
2024-04-10,Hotel B,217,188,138.5366662796368,26044.893260571716
2024-04-10,Hotel C,187,168,290.3007831840539,48770.53157492106
2024-04-11,Hotel A,211,146,281.53747376739915,41104.47117004028
2024-04-11,Hotel B,213,158,124.56954401886208,19681.987954980206
2024-04-11,Hotel C,211,179,238.60630954382725,42710.52940834508
2024-04-12,Hotel A,244,193,165.69994152779478,31980.088714864392
2024-04-12,Hotel B,238,184,227.1088163460757,41788.02220767793
2024-04-12,Hotel C,246,224,220.2098852610059,49327.01429846532
2024-04-13,Hotel A,187,118,163.77099437990174,19324.977336828404
2024-04-13,Hotel B,211,189,269.4395756220585,50924.07979256906
2024-04-13,Hotel C,247,229,145.39473277998843,33295.39380661735
2024-04-14,Hotel A,193,135,281.34044733380154,37980.96039006321
2024-04-14,Hotel B,186,152,252.46283037528042,38374.35021704262
2024-04-14,Hotel C,198,127,277.7599336575529,35275.51157450922
2024-04-15,Hotel A,208,155,280.6809079938555,43505.5407390476
2024-04-15,Hotel B,226,185,180.45585428697032,33384.33304308951
2024-04-15,Hotel C,181,131,126.16105994769524,16527.098853148076
2024-04-16,Hotel A,199,162,193.6940973944233,31378.443777896573
2024-04-16,Hotel B,188,141,173.0038367175452,24393.540977173874
2024-04-16,Hotel C,203,129,221.8397915939809,28617.333115623536
2024-04-17,Hotel A,238,217,263.9739460705167,57282.34629730213
2024-04-17,Hotel B,193,165,245.7922535689628,40555.72183887886
2024-04-17,Hotel C,204,140,145.08409333310834,20311.773066635167
2024-04-18,Hotel A,183,118,282.1030142225494,33288.15567826083
2024-04-18,Hotel B,216,130,284.5737851808898,36994.59207351567
2024-04-18,Hotel C,221,177,169.32993972369707,29971.39933109438
2024-04-19,Hotel A,196,145,209.5436809163803,30383.833732875144
2024-04-19,Hotel B,206,188,277.3002139612528,52132.44022471552
2024-04-19,Hotel C,219,150,233.95765140434057,35093.64771065109
2024-04-20,Hotel A,232,153,284.59415026649276,43542.90499077339
2024-04-20,Hotel B,205,152,258.76404787156866,39332.13527647844
2024-04-20,Hotel C,225,138,149.9310063760943,20690.478879901013
2024-04-21,Hotel A,244,153,228.56737970394988,34970.80909470433
2024-04-21,Hotel B,205,127,270.6742183265453,34375.625727471255
2024-04-21,Hotel C,190,137,249.42826293316418,34171.67202184349
2024-04-22,Hotel A,218,177,290.8752234703978,51484.91455426042
2024-04-22,Hotel B,234,194,288.62935307845646,55994.094497220554
2024-04-22,Hotel C,248,190,168.58402003059507,32030.963805813062
2024-04-23,Hotel A,199,130,271.4753388558078,35291.79405125502
2024-04-23,Hotel B,241,225,147.84098535898252,33264.221705771066
2024-04-23,Hotel C,205,157,181.98907176796197,28572.28426757003
2024-04-24,Hotel A,219,187,209.18843691711572,39118.23770350064
2024-04-24,Hotel B,222,179,202.7426722970036,36290.938341163645
2024-04-24,Hotel C,214,189,263.8948582144163,49876.12820252468
2024-04-25,Hotel A,223,209,120.94568734050928,25277.648654166438
2024-04-25,Hotel B,191,138,136.48477319879416,18834.898701433594
2024-04-25,Hotel C,228,147,291.04272368774446,42783.28038209843
2024-04-26,Hotel A,234,183,135.60693813519305,24816.06967874033
2024-04-26,Hotel B,187,154,256.626452196993,39520.47363833692
2024-04-26,Hotel C,249,234,282.6054862744845,66129.68378822938
2024-04-27,Hotel A,191,129,297.7802414393965,38413.651145682146
2024-04-27,Hotel B,205,125,247.00353105282392,30875.44138160299
2024-04-27,Hotel C,196,129,222.2301414994733,28667.688253432054
2024-04-28,Hotel A,186,113,245.53564810443117,27745.528235800724
2024-04-28,Hotel B,188,125,140.75076382451118,17593.845478063897
2024-04-28,Hotel C,238,221,205.35855899834348,45384.24153863391
2024-04-29,Hotel A,218,165,214.0382236928104,35316.30690931372
2024-04-29,Hotel B,196,162,185.64550490231505,30074.571794175037
2024-04-29,Hotel C,239,183,279.2997041741906,51111.84586387688
2024-04-30,Hotel A,222,159,250.45801887517706,39822.82500115315
2024-04-30,Hotel B,218,154,217.10843262756072,33434.69862464435
2024-04-30,Hotel C,204,175,213.63025977817173,37385.29546118005
2024-05-01,Hotel A,221,200,195.1510951250206,39030.21902500412
2024-05-01,Hotel B,221,209,120.04275424365922,25088.935636924776
2024-05-01,Hotel C,192,150,289.0321857323213,43354.82785984819
2024-05-02,Hotel A,218,131,129.48309047590115,16962.28485234305
2024-05-02,Hotel B,241,185,232.95098337930662,43095.931925171724
2024-05-02,Hotel C,235,163,191.6917291156144,31245.75184584515
2024-05-03,Hotel A,209,155,195.84426040987262,30355.860363530257
2024-05-03,Hotel B,184,157,120.60234516773626,18934.568191334594
2024-05-03,Hotel C,224,162,171.70301849773472,27815.888996633024
2024-05-04,Hotel A,247,210,226.03953620476108,47468.30260299983
2024-05-04,Hotel B,227,137,297.79003015248566,40797.23413089054
2024-05-04,Hotel C,194,142,242.33651088475256,34411.784545634866
2024-05-05,Hotel A,191,178,263.638077985809,46927.577881474
2024-05-05,Hotel B,222,178,296.81949271441465,52833.86970316581
2024-05-05,Hotel C,242,225,204.13227202497654,45929.761205619725
2024-05-06,Hotel A,204,175,131.69755370692093,23047.07189871116
2024-05-06,Hotel B,199,177,161.50245524490342,28585.934578347904
2024-05-06,Hotel C,236,159,153.55888718596583,24415.863062568566
2024-05-07,Hotel A,182,161,264.1385436833775,42526.305533023784
2024-05-07,Hotel B,233,218,279.08145929341663,60839.75812596483
2024-05-07,Hotel C,199,188,151.3011448595077,28444.615233587447
2024-05-08,Hotel A,214,185,245.2837112496826,45377.48658119128
2024-05-08,Hotel B,182,161,160.39930293059894,25824.287771826428
2024-05-08,Hotel C,247,198,136.46763073159588,27020.590884855985
2024-05-09,Hotel A,235,162,143.31268583090474,23216.65510460657
2024-05-09,Hotel B,188,115,273.3948360024614,31440.40614028306
2024-05-09,Hotel C,221,195,237.94355651502391,46398.99352042966
2024-05-10,Hotel A,184,157,170.6503729039548,26792.108545920903
2024-05-10,Hotel B,217,149,250.2156204639453,37282.12744912785
2024-05-10,Hotel C,197,123,159.63297635096603,19634.856091168822
2024-05-11,Hotel A,207,129,273.21724452877834,35245.02454421241
2024-05-11,Hotel B,219,199,212.894223679851,42365.95051229035
2024-05-11,Hotel C,237,189,239.18016181918165,45205.05058382533
2024-05-12,Hotel A,219,174,168.06508863049584,29243.325421706275
